id,vel_mean,tiempo_terminar,colision,react_time,quieto_count
36869,2.806048508952536,42.58445715904236,False,0.016838606037641472,0
598535,2.4894190117661332,47.8542263507843,False,0.029338804998566566,0
694170,2.4731331894924153,48.14672827720642,False,0.01755073923630703,0
149398,2.173814359475048,54.863951444625854,False,0.021035784353610983,0
956403,2.140410738859512,55.613147258758545,False,0.02943234112494278,0
569171,2.1602328536103887,55.11378335952759,False,0.012801807549477873,0
385540,2.113828220946594,56.50072193145752,False,0.026057595533798744,0
540161,2.119720764452288,56.347556591033936,False,0.016859201202373324,0
43426,2.1373240563405718,55.84420943260193,False,0.018904868241225187,0
546226,2.104611883854407,56.82345151901245,False,0.02079505785629297,0
477099,2.145105131313702,55.792364835739136,False,0.014979869700378911,0
119911,2.1677388546573924,55.2085018157959,False,0.017655852609901778,0
73419,2.1746879690839522,54.81799030303955,False,0.0140341540514153,0
923065,2.1802448530703047,54.81704497337341,False,0.018573287040163443,0
211719,2.216594671092865,53.8726601600647,False,0.015413400836514159,0
598743,2.27663071452749,52.34182333946228,False,0.027205417525515398,0
959794,2.2727041139184134,52.40010595321655,False,0.02536547061625112,0
938164,2.152666750843917,55.57386803627014,False,0.025666091756786122,0
614808,2.0471050479162867,57.99033999443054,False,0.010304966769967673,0
227319,2.092506367535722,56.973554849624634,False,0.014201890592114325,0
651861,2.1260879738702507,56.097421646118164,False,0.019364351320556195,0
90113,2.1743338458221415,54.973490476608276,False,0.02837646437840745,0
616223,2.2079436072340286,53.44494366645813,False,0.013362038850639043,0
264324,2.22787651839155,53.55331206321716,False,0.015108640542720285,0
850922,2.2202443085950985,52.93692064285278,False,0.010364772514859096,0
416981,2.238559533382708,52.878196001052856,False,0.018392456611072645,0
147568,2.282960695608898,52.406615257263184,False,0.015809089467723393,0
347426,2.360415991826,50.623860120773315,False,0.022156497872279954,0
537226,2.3816887086409144,50.234947204589844,False,0.018240237552444707,0
608873,2.3812292651894986,50.23868942260742,False,0.010965096062572267,0
830196,2.4340319445003407,48.99892210960388,False,0.027850578224354376,0
63589,2.4804564027627873,48.19691348075867,False,0.010438997618914977,0
450621,2.4252190152274697,49.42463207244873,False,0.01918428866691583,0
592579,2.116210468432708,56.36269021034241,False,0.018232072143196346,0
895241,2.114754259050652,55.73120450973511,False,0.02078834714550081,0
107812,2.1181725630165005,56.0180869102478,False,0.019900579747531455,0
886219,3.134110343001637,6.36958122253418,True,0.02650194256719985,1
164874,2.6010411581827086,7.416492700576782,True,0.011923532262467118,0
910618,2.1555432627211872,55.14606046676636,False,0.020557788747411026,0
986798,2.1747521613260465,54.77257490158081,False,0.010133589634481877,0
823580,2.202828303303829,54.231804609298706,False,0.029509895753750383,0
898051,2.2251098763910253,53.59603571891785,False,0.019258570587259514,0
407778,2.2634145550222278,52.62893867492676,False,0.015983308997424218,0
550839,2.306776446725994,51.7366247177124,False,0.02703361130899775,0
530978,2.307412487534091,51.668118476867676,False,0.021571777040306335,0
641088,2.3386179164762524,50.969791412353516,False,0.02815981951807795,0
535844,2.1717615725271395,55.047829151153564,False,0.02886001317717274,0
661223,2.051381588630968,58.24520969390869,False,0.016918328863542723,0
805931,2.2218632233085542,43.60349225997925,True,0.014942656452213439,1
266652,2.1582559843669813,44.964367151260376,True,0.0250564237483574,0
791133,1.9697915452167896,60.4221396446228,False,0.02635320350630045,0
356338,1.9810537528046095,60.046125411987305,False,0.029501012735218594,0
615141,1.9590557159016133,60.661699533462524,False,0.015215847060523102,0
476519,2.00052375300054,59.490646839141846,False,0.018365753899743133,0
662091,2.0247809158656653,58.85734415054321,False,0.01650492477649759,0
178908,2.067002143555228,57.572126388549805,False,0.018389070777499218,0
490523,2.016721647927136,58.888312578201294,False,0.02724754256098825,0
486559,2.025523352817629,58.42798709869385,False,0.02854666082209635,0
729381,2.030302810434967,58.389142751693726,False,0.020694336500978523,0
819205,2.0086588441069235,59.078978538513184,False,0.02890034122105402,0
1283,2.1473004880874176,55.181499004364014,False,0.02617235687205561,0
437158,2.155768153870059,54.968648195266724,False,0.012131504500579496,0
272594,2.1649206911409866,54.778972864151,False,0.013256933653488711,0
867850,2.204831517930771,53.95168685913086,False,0.02403282743148186,0
469291,2.221843862019912,53.451661109924316,False,0.010985856765770678,0
