id,vel_mean,tiempo_terminar,colision,react_time,quieto_count,cant_autos_en_frame
873889,2.7041513498068617,47.03682351112366,False,0.07514522846690075,,26.0
204081,2.0262847301521214,62.572129249572754,False,0.08400120495076183,,33.0
813731,2.059587206961753,61.3331458568573,False,0.08897218878407884,,33.0
43050,2.1011282579024955,60.292778730392456,False,0.0646812964978015,,32.0
969379,1.9391019750625462,65.31520819664001,False,0.0864201778218032,,35.0
885754,3.1822049687324387,4.7589333057403564,True,0.07777274288320575,,34.0
30324,1.8494337058004502,7.599242687225342,True,0.07920498505747461,,34.0
729058,1.9968813794951044,62.84132432937622,False,0.07995275226415882,,34.0
682328,1.3659861670103672,92.51317381858826,False,0.07914150037998688,,45.0
22876,1.3687271374118168,92.24251866340637,False,0.08145241674800396,,44.0
272076,1.3720130130203632,92.20880627632141,False,0.06502860988156098,,44.0
913351,1.3969040301504516,90.05854392051697,False,0.06959481987079931,,43.0
419200,1.4355024505947662,88.42718935012817,False,0.05616811987261048,,42.0
906055,1.454362580391842,87.31304669380188,False,0.07585613693599294,,42.0
854423,1.4731561232471442,85.66491913795471,False,0.06943358846051097,,41.0
597690,1.5147229990581703,83.95857357978821,False,0.07678333968075897,,40.0
181057,1.5182072017124342,83.20696640014648,False,0.08896748544459668,,40.0
703085,1.5384584728971382,82.27633380889893,False,0.07862760031808744,,39.0
156411,1.5492214440379062,81.46885585784912,False,0.09468728345126105,,38.0
185684,1.568840426379856,80.33799648284912,False,0.07370854040781996,,38.0
794665,1.6020409823556545,78.97797441482544,False,0.0833695291011875,,38.0
46576,1.6050451085783897,78.92039585113525,False,0.07755443470504347,,37.0
706887,1.6187993929030822,77.90489196777344,False,0.09162995015106691,,36.0
185260,1.6543494407042465,76.98763251304626,False,0.07618998629115362,,36.0
6499,1.6224713839450098,78.18534278869629,False,0.08941349034364375,,37.0
10343,1.633290009112738,77.769944190979,False,0.08647944040199008,,36.0
822716,1.641149372794783,76.94165754318237,False,0.08292836901774368,,36.0
565684,1.655328002178073,76.50671172142029,False,0.08188829021819852,,35.0
916503,1.6428551104578475,77.12469792366028,False,0.0767642927369551,,35.0
256382,1.6870888209179846,75.23971509933472,False,0.08101716673198543,,35.0
963335,1.7211177039029368,73.88683104515076,False,0.07035385253585483,,34.0
366818,1.7362315812769875,72.75769281387329,False,0.07915310292649211,,33.0
809548,1.7874166037207002,71.27891707420349,False,0.07543205471751711,,33.0
283177,1.781613897887969,71.15239238739014,False,0.07646468479067614,,32.0
964291,1.2809259408123566,100.14699411392212,False,0.075824920476098,,48.0
250430,1.3033517843767233,98.5195562839508,False,0.06991287800315667,,47.0
977830,1.3755390207944778,93.40546870231628,False,0.07671069370368014,,46.0
379875,1.3775973891677924,93.18423414230347,False,0.08190521345863308,,46.0
310939,1.3798614929264439,93.01609396934509,False,0.07615608970575975,,46.0
706918,1.414516845503254,91.22059631347656,False,0.09394559837135252,,45.0
708873,1.4241594238627697,90.31924080848694,False,0.09456096267747133,,44.0
10176,1.4238558557831635,90.69529557228088,False,0.09821599754731117,,44.0
170326,1.4476855535279782,88.814781665802,False,0.07384199344300749,,43.0
791327,1.4773823542848425,87.62681794166565,False,0.07457240350683902,,43.0
59695,1.484771152824367,86.246258020401,False,0.08715065048000062,,43.0
996119,1.4890803494912617,85.81753969192505,False,0.07171832134819582,,43.0
95041,1.5301056324776576,84.28144216537476,False,0.10829067498925425,,43.0
281260,1.5409068356215625,83.59257221221924,False,0.08586272207050129,,42.0
827876,1.5757803561016877,81.13764524459839,False,0.07240197977264472,,41.0
741825,1.6256587256802035,79.39624214172363,False,0.07928411204845319,,41.0
816845,1.6441466496308792,78.54563283920288,False,0.10074296801763397,,40.0
35551,1.6546023108628263,77.51497960090637,False,0.09564234599447982,,40.0
500308,1.7005500432610527,75.40721607208252,False,0.09571787529456902,,39.0
433028,1.7524422148142014,73.97115540504456,False,0.07110134762183265,,39.0
309908,1.7799703868694607,72.49088668823242,False,0.09198595758026122,,38.0
745332,1.8102455589819737,71.4801812171936,False,0.06559716553738594,,37.0
307175,1.8500771672867238,69.69971370697021,False,0.05761367222312109,,36.0
901512,1.8763614150492145,69.14451575279236,False,0.0759060434865987,,36.0
642461,1.5538954846718327,82.97806286811829,False,0.08245833508648258,,43.0
926173,1.572600205223215,82.06795859336853,False,0.0738771018685636,,42.0
4910,1.6001216719239855,81.48657155036926,False,0.0815164711433884,,42.0
447905,1.5985387890807645,81.24524283409119,False,0.0966383224194069,,41.0
309330,1.6356261514672403,79.14219212532043,False,0.0867524092984284,,40.0
866108,1.6679838908824733,77.60523557662964,False,0.08199350049543264,,40.0
920210,1.7157000301279397,75.48569917678833,False,0.08370140698363299,,40.0
917664,1.7494535627151544,74.37886881828308,False,0.0966940539882042,,39.0
779478,1.6113648779749987,80.18203163146973,False,0.075144180708791,,42.0
547190,1.6532254948017109,78.35576891899109,False,0.09584954766900264,,41.0
488572,1.6919469478441165,76.90313839912415,False,0.07350848668863838,,40.0
420472,1.7193731517172344,75.42882871627808,False,0.0788426286359426,,40.0
535728,1.744906829221882,74.62560606002808,False,0.07320061324058244,,39.0
331515,1.7668771248215622,73.37390112876892,False,0.09140961335574643,,39.0
197619,1.7887838705476107,72.53887987136841,False,0.0795349896789281,,38.0
829470,1.8060015291805995,71.88138484954834,False,0.09229585575899364,,37.0
8702,1.81562643199182,71.59364199638367,False,0.07336943042400254,,37.0
261637,1.5464409900443963,83.44500494003296,False,0.0811495611111734,,43.0
798025,1.5631428245347057,82.27997732162476,False,0.07336953965129564,,43.0
288985,1.579337467053565,81.06019926071167,False,0.0745612171710022,,42.0
831589,1.6107960572153368,79.28676724433899,False,0.08018289017819975,,42.0
331142,1.6244991165042888,78.73161125183105,False,0.0698136167063183,,41.0
75779,1.6578812342342684,76.9859185218811,False,0.09087744923678127,,40.0
763604,1.6675923420736214,76.45616292953491,False,0.07289493614336874,,40.0
211364,1.6028116323861057,79.03454899787903,False,0.0921966313034182,,41.0
591759,1.619813404975103,78.5535831451416,False,0.08488971493241236,,41.0
39261,1.6459846786219088,76.85331058502197,False,0.08843269484907756,,40.0
942061,1.6730747311203156,75.6001524925232,False,0.07496076423111746,,40.0
591707,1.6833124158384298,75.57018375396729,False,0.08764268630249938,,39.0
745298,1.684876344127789,75.02261853218079,False,0.07172801043981629,,38.0
110813,1.7047714632916398,73.96810603141785,False,0.08452232364292683,,38.0
588905,1.7566794442716924,72.3805468082428,False,0.09732607226597234,,37.0
139752,1.789485572960285,70.4556143283844,False,0.07043860071704189,,37.0
155693,1.813306749987577,69.49805116653442,False,0.07706218636780504,,36.0
427666,1.874470604279349,67.18481969833374,False,0.06979264711439426,,35.0
680452,1.5402551144249756,81.95278263092041,False,0.08173766871284947,,44.0
16905,1.5591108423146118,80.91692185401917,False,0.08444761194363465,,44.0
887494,1.5621237151389507,80.86678504943848,False,0.07164907911722034,,43.0
274003,1.5355501017982027,82.5961582660675,False,0.0873965579120384,,44.0
451296,1.5602559691570892,81.20687365531921,False,0.07632049254039742,,43.0
519016,1.3969522764651847,91.62610507011414,False,0.07758372470469196,,49.0
322277,2.6831086795963164,8.457067489624023,True,0.088671242934839,,49.0
464814,2.3310655296179807,9.729846000671387,True,0.09064965325652181,,49.0
197445,1.4104872938486386,90.95505404472351,False,0.07302978492582277,,47.0
814241,1.4224454973208875,90.15329432487488,False,0.06956696692366302,,46.0
375741,1.4344723611948003,88.87766861915588,False,0.0721927967801006,,46.0
653529,1.4480519808666439,88.1900987625122,False,0.08647253585011594,,45.0
193082,1.4600012035997998,87.9355206489563,False,0.07276692349247085,,45.0
511621,1.4670543326413847,87.21995759010315,False,0.07125361252009586,,44.0
135495,1.4598180607920037,87.78366661071777,False,0.06660213437466202,,44.0
14635,1.500363714187476,85.88551640510559,False,0.09314596170010955,,44.0
850329,1.5310163491727977,84.3613543510437,False,0.07989628104547983,,43.0
133735,1.5411977346008705,83.16283512115479,False,0.0820422165003386,,43.0
778326,1.5706524886262527,82.34861779212952,False,0.08324905220345143,,43.0
46033,1.5879359308911742,81.48356795310974,False,0.08502093195049089,,42.0
219365,1.6027421806252218,80.68778491020203,False,0.09011205715408613,,42.0
447816,1.6122766088389853,80.32536721229553,False,0.09295793537550089,,41.0
190762,1.6388410227327956,78.97478556632996,False,0.07317169464955009,,40.0
529192,1.6539845417097554,78.54665780067444,False,0.07499216081467112,,40.0
730070,1.66124029723878,77.842609167099,False,0.08775790752545543,,39.0
380064,1.6904177990778542,77.13335585594177,False,0.0815508060472811,,38.0
794707,1.7253676006458134,75.7151505947113,False,0.07712876505083732,,38.0
826109,1.750885381484009,74.71250748634338,False,0.08061422266505831,,37.0
169010,1.7759031992760292,73.76284146308899,False,0.07159641533478232,,37.0
849494,1.8192906533091633,72.07646083831787,False,0.07143902820763251,,36.0
655450,1.830873591689894,71.90480256080627,False,0.06861001498166763,,35.0
589195,1.8751145285747108,70.29920268058777,False,0.060042334213394916,,34.0
719665,1.5487424511823427,85.98506951332092,False,0.07262367602228159,,44.0
351533,1.5826475378582172,84.78657746315002,False,0.07924042067864802,,44.0
178035,1.615625554396642,83.01900148391724,False,0.08402345768315736,,43.0
194242,1.5891642459711754,84.74495148658752,False,0.08634093968216543,,44.0
847920,1.5980952715949341,83.92169308662415,False,0.06914615147311734,,44.0
415492,1.6212979418507978,83.02386164665222,False,0.07414072577953736,,43.0
272614,1.6292386771205136,82.64417099952698,False,0.07310365530146036,,42.0
347544,1.650852165805465,81.65442299842834,False,0.07266096413398448,,41.0
990418,1.6782418249376418,80.45131278038025,False,0.0714123721320608,,41.0
487646,1.7186943999650297,79.1284863948822,False,0.09015223237179365,,41.0
188246,1.7129809175440414,79.56692862510681,False,0.06986057181984118,,40.0
852973,1.74286210211397,78.13088345527649,False,0.07086601827233371,,40.0
889181,1.7776408633983634,77.00984525680542,False,0.07625866732782437,,39.0
954251,1.8048451599788335,75.77147936820984,False,0.07454045780376287,,38.0
168496,1.2007366006044076,114.41405296325684,False,0.09920985790333597,,56.0
267899,1.2207205199045645,112.60819387435913,False,0.05874284981270802,,55.0
530506,1.2353488648423354,111.5995659828186,False,0.08547299711107441,,55.0
747319,1.2549937658863979,110.15931987762451,False,0.08708998556039,,55.0
434085,1.2586793504830722,109.60322690010071,False,0.069945533878637,,54.0
80035,1.3117986727770161,105.2386589050293,False,0.079719577634349,,53.0
860727,1.3350551284729146,103.52807307243347,False,0.09310248624696163,,52.0
962049,1.3456411210419594,102.45394706726074,False,0.06989198540311342,,51.0
138951,1.357599811527929,101.45856165885925,False,0.07432367748073387,,51.0
81266,1.3802028267231794,100.73458695411682,False,0.06990138218730745,,50.0
429060,1.3753523369276088,100.6207365989685,False,0.09956358380418329,,50.0
782194,1.4032841138164036,98.98541259765625,False,0.08931856515292483,,49.0
778921,1.4168869265537711,98.0057361125946,False,0.08330342509420172,,49.0
141418,1.4252319058328842,98.27977991104126,False,0.06383397050958625,,49.0
485982,1.4281097125670035,97.94984555244446,False,0.08009827405036982,,48.0
44420,1.4480596364877178,96.95914030075073,False,0.08101604205208646,,48.0
131812,1.3342656926556258,105.06702375411987,False,0.08372537908192193,,52.0
112319,1.3635716742853479,103.09415888786316,False,0.09704015681933374,,52.0
598150,1.3873168739617094,101.38358497619629,False,0.08432990713972141,,52.0
155903,1.4121390638621465,99.22370934486389,False,0.06601384782965507,,51.0
529727,1.420590430739464,98.91854643821716,False,0.10014016735771425,,50.0
731741,1.4266404307766973,98.6076385974884,False,0.06514006620144444,,50.0
738030,1.4465030899397957,96.99355387687683,False,0.09555648207985773,,49.0
934198,1.4508230481068374,96.61162328720093,False,0.07475808056524266,,49.0
893894,1.4647861383520109,95.62047719955444,False,0.08484830733058309,,49.0
586782,1.4675761186812182,95.66932439804077,False,0.08167460810820902,,49.0
370605,1.488326290308322,93.97296690940857,False,0.08449011842751268,,49.0
239371,1.5062258361842409,93.14117646217346,False,0.06815933145300503,,48.0
685479,1.5084799356382645,92.96663618087769,False,0.062149463411853303,,48.0
111176,1.5117589936017795,92.8552086353302,False,0.07692238240770552,,47.0
263111,1.5151139417397232,92.7147536277771,False,0.06941246898818332,,47.0
632282,1.5167175422312948,92.52223515510559,False,0.09530455040146997,,47.0
332606,1.5179095677255343,92.43164563179016,False,0.06548905214230621,,46.0
464192,1.529238768218703,92.02667951583862,False,0.07383394502007579,,46.0
683153,1.5624916533253812,90.03020715713501,False,0.076507714540689,,46.0
85844,1.5709086825713707,89.25803995132446,False,0.07841044490079566,,45.0
868810,1.6107641839952405,88.0738172531128,False,0.08675963171970713,,45.0
527101,1.6344851661581798,86.25437712669373,False,0.09134817541011897,,44.0
827916,1.6445882927114106,86.1565477848053,False,0.07883918976919235,,43.0
385486,1.3543229205787752,104.76232862472534,False,0.08674029845426726,,54.0
984127,1.384304317305939,102.75447654724121,False,0.07310912701901102,,53.0
938727,1.3955855074146013,101.87980198860168,False,0.06956069646740745,,52.0
