id,vel_mean,tiempo_terminar,colision,react_time,cant_autos_en_frame,posicion_final,cantidad_de_autos_enviados
849759,0.7366445129985594,3.2300145626068115,True,0.07011855540546537,581,1.4732890259971188,1942.0
503892,0.8979949856360963,1997.8035426139832,False,0.07470313557616447,581,10001.868150014843,1944.0
112335,0.0,1.6890618801116943,True,0.1064099708334566,581,0.0,1945.0
751096,0.4613292029069061,3.0720767974853516,True,0.09193369524794484,581,0.9226584058138122,1945.0
348947,0.0,1.6045970916748047,True,0.08548354743633259,580,0.0,1946.0
151336,0.9094998966280263,2.818974733352661,True,0.07815849289747791,581,1.8189997932560527,1948.0
688657,0.5355690345973442,8.036558151245117,True,0.11897040434933417,581,3.2134142075840653,1948.0
922794,1.500209562648862,1.9445796012878418,True,0.09621366186677471,581,1.942492873689046,1950.0
280077,0.6624986463202467,3.987933397293091,True,0.07915766108802343,581,1.98749593896074,1950.0
582452,0.8981571679406597,2004.9846346378326,False,0.09676985702984928,580,10000.081907851347,1951.0
30983,1.2231730953733335,4.034423828125,True,0.10132882426816649,581,3.669519286120001,1953.0
334571,1.3637052632362292,5.476121425628662,True,0.09185378235302971,581,5.112332466990425,1953.0
292949,0.3589532465242505,22.10716438293457,True,0.056875763355944145,581,6.102205190912258,1953.0
640520,0.8594847832229362,2.670804977416992,True,0.0873730992579915,579,1.7189695664458724,1954.0
990338,0.9628145138048527,3.9463212490081787,True,0.06580381696740872,579,2.888443541414558,1954.0
384630,0.8984244116495439,2012.4531466960907,False,0.10157304351840936,580,10001.260550482766,1957.0
761567,0.7226209126778396,2.344811201095581,True,0.07604507778778143,580,1.4452418253556791,1958.0
121575,0.5310343290775116,3.554804563522339,True,0.052446927605575594,580,1.5931029872325346,1958.0
978082,0.0,2.098480224609375,True,0.07554108748965324,579,0.0,1959.0
122880,0.0,1.4815833568572998,True,0.08308492751586133,581,0.0,1962.0
710034,0.5957401527096283,2.8256192207336426,True,0.06788942828655035,581,1.1914803054192566,1962.0
952742,0.8148695807283618,4.411534547805786,True,0.08558416226629369,581,2.4446087421850855,1962.0
708246,0.9005180435236034,2015.1856095790863,False,0.08666901504567956,578,10001.153391373178,1962.0
879996,1.1664192085705867,4.05094051361084,True,0.06280292141778007,580,3.49925762571176,1965.0
46258,0.41289420992750986,13.659455060958862,True,0.07678124109331566,580,4.541836309202608,1965.0
730258,0.8327541791581756,2.6554715633392334,True,0.07223362422756177,579,1.6655083583163512,1966.0
362793,0.6483519557070687,3.8361353874206543,True,0.06516101430588273,579,1.9450558671212062,1966.0
479994,1.198819953592817,2.498560667037964,True,0.08022253000716544,579,1.6900556519950294,1968.0
931794,0.6983430804087956,3.7619128227233887,True,0.07399808469148549,579,2.0950292412263867,1968.0
109135,0.9027128153273546,2018.686490058899,False,0.08163381736161718,579,10001.155281011726,1968.0
806760,0.9348480177235643,2.603818655014038,True,0.06435809570132368,577,1.6900556519950294,1969.0
972583,0.8823219450954747,2.655839443206787,True,0.09599735792026326,579,1.7646438901909494,1972.0
43541,1.0265723341795758,3.921968460083008,True,0.06727012452174706,579,3.0797170025387275,1972.0
491396,0.9032193613729456,2024.3830020427704,False,0.06991723997910337,579,10001.347988482657,1974.0
979148,0.8346669901449932,2.3870606422424316,True,0.08794036711174612,579,1.6693339802899865,1975.0
294831,0.6248516962683498,3.541016101837158,True,0.08967130190508155,579,1.8745550888050495,1975.0
707668,0.734807624834144,4.9757161140441895,True,0.06392490876029444,579,2.939230499336576,1975.0
899899,1.2243799830003796,2.9679768085479736,True,0.07816116990235336,579,1.855847075495535,1978.0
978344,0.618615691831845,4.611469030380249,True,0.08448698732256776,579,1.855847075495535,1978.0
331963,1.677512352944558,4.077812433242798,True,0.07471774601946594,579,4.294337236928905,1980.0
402193,0.6136911120058401,12.376948833465576,True,0.0807004094445194,579,5.690432091657324,1980.0
910161,0.9049891553015803,2030.9971446990967,False,0.08503006689179958,578,10000.130166082434,1981.0
960874,0.784400646751946,2.740607261657715,True,0.09665434748408644,578,1.568801293503892,1982.0
605103,0.6616727059512973,4.059270858764648,True,0.07185744942715562,578,1.9850181178538922,1982.0
764155,0.8328231222284328,2.6538851261138916,True,0.09332202082472982,578,1.6656462444568656,1984.0
732078,0.6940971289408985,3.941688060760498,True,0.09443000870763488,579,2.0822913868226953,1985.0
648686,0.997599286735354,5.295835256576538,True,0.10050604678950374,579,3.6432828073133283,1985.0
963010,0.728555016232048,9.147681951522827,True,0.07579778692445947,579,5.099885113624336,1985.0
657249,1.2841240751426284,2.3933095932006836,True,0.06379387861323005,576,2.0921258408979373,1986.0
672726,0.898799782348557,3.716360092163086,True,0.0851158914568141,576,2.696399347045671,1986.0
729735,0.905627891639495,2037.0708501338959,False,0.06764049930594326,575,10001.754435266586,1987.0
647063,0.0,0.9431169033050537,True,0.07358895187828231,577,0.0,1990.0
664958,0.0,1.9482758045196533,True,0.06487169569904436,577,0.0,1990.0
625074,0.2739328552825606,3.222377061843872,True,0.08473204036637377,577,0.5478657105651212,1990.0
787403,1.3895686456177723,2.1702613830566406,True,0.09172501219329796,577,2.7791372912355445,1993.0
232492,0.7075609786298093,6.999330759048462,True,0.07332207068953861,577,3.5378048931490462,1993.0
495,1.1408456924261154,2.091402053833008,True,0.07949956807168669,575,2.281691384852231,1993.0
846015,0.9059042070330033,2044.4322090148926,False,0.0802803541479118,575,10001.182445644377,1994.0
529555,0.0,1.0735902786254883,True,0.07895318490810008,577,0.0,1997.0
90659,0.7234639627162889,2.3087401390075684,True,0.0826595729408701,577,1.4469279254325778,1997.0
321243,0.6654191868463878,4.361325979232788,True,0.10046983168587265,577,1.9962575605391633,1997.0
816587,0.9817277518264982,1.8299500942230225,True,0.07563538051452623,578,1.9634555036529964,2001.0
624972,0.9916990489972436,4.097149848937988,True,0.079828706096653,578,2.9750971469917307,2001.0
817156,0.9857515238388254,5.608628749847412,True,0.09045574714752688,578,3.9430060953553014,2001.0
883058,0.9062191886784359,2052.895176410675,False,0.07636120535669634,576,10000.128747066563,2002.0
629034,1.7721509700961096,5.41377329826355,True,0.0864587275729554,577,6.535269413339697,2004.0
18762,0.5721170463074726,14.6781325340271,True,0.08438572399279673,577,6.865404555689673,2004.0
988769,0.0,1.771942138671875,True,0.07069874002281272,577,0.0,2006.0
