id,vel_mean,tiempo_terminar,colision,react_time,quieto_count,cant_autos_en_drame
286877,2.876401433087712,0,False,0.06230984599870124,,27.0
915005,2.31614290050748,0.23548364639282227,False,0.06901166931725015,,27.0
810907,2.4832064524228046,0,False,0.08891407094620732,,25.0
149004,2.5588340617993737,0.09480667114257812,False,0.087778958489706,,25.0
633745,2.9699883426331346,0,False,0.07458382275500723,,29.0
836531,2.205029093458748,0.07952618598937988,False,0.06783697104519094,,29.0
892021,2.5561829309900372,0.07713818550109863,False,0.06976716424123972,,29.0
859924,2.544561060777587,0,False,0.075461135509427,,29.0
796694,2.2170791444500684,0,False,0.0744161500938349,,29.0
593678,2.5372484151408057,0,False,0.0700993919053133,,27.0
423489,2.4237790114196662,0.18713760375976562,False,0.07765246335377485,,27.0
466571,2.3766345057542217,0,False,0.07937740461809167,,28.0
730606,2.487740064703756,0.07645654678344727,False,0.07351686685673685,,29.0
299872,2.588598633586593,0.07833433151245117,False,0.06666447623900046,,29.0
921114,2.2625350441534176,0.062018632888793945,False,0.06137280486947027,,29.0
386083,2.7178440741736303,0,False,0.07153843417975869,,32.0
666910,2.4592085138558804,0,False,0.07810791153888721,,32.0
49656,2.5603459854270203,0,False,0.08668452865775944,,32.0
779342,2.2258744503182593,3.339398145675659,False,0.06599474105610798,,33.0
676851,2.334346490769348,0,False,0.06784365723032026,,32.0
391214,2.6719177279618984,0,False,0.0728842613508959,,33.0
64740,3.042975487586933,0,False,0.06965460717922786,,33.0
802104,2.4930299522685604,0,False,0.07409544557636458,,33.0
467790,2.338375921337548,0,False,0.06523339444704437,,33.0
894949,1.3603851840293903,3.5257139205932617,True,0.06845431482193218,,35.0
956820,2.3952206374479,0,True,0.08504903094924227,,34.0
581797,2.2532663739589016,0,False,0.08285106560191288,,33.0
168889,2.205866515868412,2.2240147590637207,False,0.0666892880617513,,34.0
933879,2.449156834801882,0.07736659049987793,False,0.0805842544586042,,34.0
946858,2.4811047120789875,0.6219022274017334,False,0.061148953336838646,,34.0
813600,2.211630242234499,0.09306073188781738,False,0.07546922724717782,,34.0
634733,2.4411579476119054,0,False,0.07309779390351755,,34.0
467333,2.4115444846395815,0,False,0.08537743509963719,,34.0
481936,2.208916220966443,0.09539961814880371,False,0.07167270701591875,,34.0
575149,2.780530934947538,0,False,0.07105775168914427,,34.0
238170,2.562111106970288,0,False,0.06221402386389931,,34.0
988153,2.6066808272372133,0,False,0.0716577679479247,,34.0
376074,2.2083148516297957,0.4024949073791504,False,0.08781137828453074,,34.0
12640,2.393118537473494,0.3149881362915039,False,0.0717203442761943,,32.0
445615,2.77602360660993,0,False,0.06526725569197378,,32.0
26388,2.373222543323405,0.1561734676361084,False,0.07234705771052936,,32.0
732544,2.6021112735638363,0.232316255569458,False,0.06775110903518483,,31.0
416073,2.455860568937226,0,False,0.06752317648901451,,31.0
28840,2.8555589941565165,0,False,0.07033530427236573,,34.0
805126,2.3222905424499194,0,False,0.08709307332763278,,34.0
561601,2.246602230467147,0,False,0.08082881063251554,,34.0
529438,2.251734892665166,0.09467315673828125,False,0.0840847817757519,,33.0
971888,2.218018041001241,0.09343147277832031,False,0.08252426586382536,,33.0
56443,2.8857910974089966,0,False,0.08155606815651731,,33.0
298903,2.6015045233831997,0,False,0.06682002827390299,,33.0
850460,2.5337822279592865,0,False,0.07799410856891495,,33.0
379130,2.371675444285654,0.18761563301086426,False,0.08825553263083642,,33.0
860785,2.228244756909576,0.4987983703613281,False,0.07658696819973002,,33.0
222954,3.317554612233993,0,False,0.06114406598704917,,31.0
221567,2.3299408743691723,0.691727876663208,False,0.07814515990567522,,31.0
9377,2.244448218343519,0.17245268821716309,False,0.0728451357183781,,32.0
339445,2.3827409080571447,0,False,0.08269991301664166,,33.0
700458,2.213624959991168,0.18942785263061523,False,0.08427742051829612,,33.0
953953,2.2735142963589148,0,False,0.06881516977410246,,33.0
406973,2.6179008875573215,0,False,0.06809531157351185,,33.0
255693,2.938854058441542,0,False,0.08299121671878358,,33.0
947693,2.288883064078855,0.27968478202819824,False,0.08567096551430285,,33.0
207833,2.450298801707267,0,False,0.07297500025029173,,32.0
178713,2.543727405581755,0,False,0.08024551985656184,,35.0
350615,2.457289863874032,0.20882916450500488,False,0.08914640586999839,,35.0
15908,2.2059154770276765,0,False,0.0813645773621372,,35.0
584804,2.5250433601336577,0.06991696357727051,False,0.06348349319548738,,35.0
763604,2.297588878790852,0.13878345489501953,False,0.06369895414042921,,35.0
617259,2.3545519138301922,0.21442699432373047,False,0.06046897114504725,,34.0
158622,2.432138174828399,0.15691375732421875,False,0.0762786473834027,,33.0
77311,2.399031630745712,0,False,0.0659483998788509,,34.0
384025,2.631982597773157,0,False,0.0757152892656612,,37.0
471940,2.3991626997319777,0,False,0.06800953386483034,,37.0
71383,2.2799950460622243,0.4089798927307129,False,0.07047568279879923,,37.0
143411,2.237623778004188,1.1237614154815674,False,0.06058222933583264,,37.0
739095,2.474836576343399,0,False,0.08808419756874429,,34.0
681629,2.3900419820078938,0,False,0.06566879403321776,,37.0
460837,2.338229165132133,0,False,0.08372997593868664,,37.0
962679,2.870384196719957,0,False,0.06894699446464714,,38.0
392530,2.4168709815479303,1.0099601745605469,False,0.06924841518422957,,38.0
667019,2.6522696649737085,0,False,0.07002528244533188,,38.0
101943,2.254894500386208,0,False,0.0667538668624617,,38.0
564790,2.596203318171782,0.09183573722839355,False,0.08660558671795779,,37.0
467713,2.333257067443753,0,False,0.08309225317480451,,37.0
373860,2.2465867291347705,0.09293770790100098,False,0.08284417086927348,,38.0
628210,2.211558825559372,0.17247700691223145,False,0.07197842587754626,,39.0
356543,2.3157906753471926,0,False,0.08362759875058187,,39.0
367891,2.2116214874110067,1.0933613777160645,False,0.0610985516992725,,39.0
487449,2.970362479322194,0,False,0.0663704578203112,,39.0
235881,2.7239080866594056,0,False,0.08811412364953436,,39.0
521325,2.2093402479768405,0,False,0.07621802719709965,,39.0
470695,2.265727240501911,0.18829560279846191,False,0.08026586810444877,,37.0
932695,2.598957221680582,0.09000182151794434,False,0.08726543509458837,,37.0
871513,2.249715709342141,1.7014834880828857,False,0.06587735217152851,,37.0
6941,2.274911021855568,0.19018149375915527,False,0.08419168387607359,,36.0
811170,2.2912658367694987,0,False,0.0689707083164578,,36.0
